Number,Prefecture,Municipality
151,北海道,音更町
152,北海道,士幌町
153,北海道,上士幌町
154,北海道,鹿追町
155,北海道,新得町
156,北海道,清水町
157,北海道,芽室町
158,北海道,中札内村
159,北海道,更別村
160,北海道,大樹町
161,北海道,広尾町
162,北海道,幕別町
163,北海道,池田町
164,北海道,豊頃町
165,北海道,本別町
166,北海道,足寄町
167,北海道,陸別町
168,北海道,浦幌町
169,北海道,釧路町
170,北海道,厚岸町
171,北海道,浜中町
172,北海道,標茶町
173,北海道,弟子屈町
174,北海道,鶴居村
175,北海道,白糠町
176,北海道,別海町
177,北海道,中標津町
178,北海道,標津町
179,北海道,羅臼町
180,青森県,青森市
181,青森県,弘前市
182,青森県,八戸市
183,青森県,黒石市
184,青森県,五所川原市
185,青森県,十和田市
186,青森県,三沢市
187,青森県,むつ市
188,青森県,つがる市
189,青森県,平川市
190,青森県,平内町
191,青森県,今別町
192,青森県,蓬田村
193,青森県,外ヶ浜町
194,青森県,鰺ヶ沢町
195,青森県,深浦町
196,青森県,西目屋村
197,青森県,藤崎町
198,青森県,大鰐町
199,青森県,田舎館村
200,青森県,板柳町
201,青森県,鶴田町
202,青森県,中泊町
203,青森県,野辺地町
204,青森県,七戸町
205,青森県,六戸町
206,青森県,横浜町
207,青森県,東北町
208,青森県,六ヶ所村
209,青森県,おいらせ町
210,青森県,大間町
211,青森県,東通村
212,青森県,風間浦村
213,青森県,佐井村
214,青森県,三戸町
215,青森県,五戸町
216,青森県,田子町
217,青森県,南部町
218,青森県,階上町
219,青森県,新郷村
220,岩手県,盛岡市
221,岩手県,宮古市
222,岩手県,大船渡市
223,岩手県,花巻市
224,岩手県,北上市
225,岩手県,久慈市
226,岩手県,遠野市
227,岩手県,一関市
228,岩手県,陸前高田市
229,岩手県,釜石市
230,岩手県,二戸市
231,岩手県,八幡平市
232,岩手県,奥州市
233,岩手県,滝沢市
234,岩手県,雫石町
235,岩手県,葛巻町
236,岩手県,岩手町
237,岩手県,紫波町
238,岩手県,矢巾町
239,岩手県,西和賀町
240,岩手県,金ケ崎町
241,岩手県,平泉町
242,岩手県,住田町
243,岩手県,大槌町
244,岩手県,山田町
245,岩手県,岩泉町
246,岩手県,田野畑村
247,岩手県,普代村
248,岩手県,軽米町
249,岩手県,野田村
250,岩手県,九戸村
251,岩手県,洋野町
252,岩手県,一戸町
253,宮城県,仙台市
254,宮城県,石巻市
255,宮城県,塩竈市
256,宮城県,気仙沼市
257,宮城県,白石市
258,宮城県,名取市
259,宮城県,角田市
260,宮城県,多賀城市
261,宮城県,岩沼市
262,宮城県,登米市
263,宮城県,栗原市
264,宮城県,東松島市
265,宮城県,大崎市
266,宮城県,富谷市
267,宮城県,蔵王町
268,宮城県,七ヶ宿町
269,宮城県,大河原町
270,宮城県,村田町
271,宮城県,柴田町
272,宮城県,川崎町
273,宮城県,丸森町
274,宮城県,亘理町
275,宮城県,山元町
276,宮城県,松島町
277,宮城県,七ヶ浜町
278,宮城県,利府町
279,宮城県,大和町
280,宮城県,大郷町
281,宮城県,大衡村
282,宮城県,色麻町
283,宮城県,加美町
284,宮城県,涌谷町
285,宮城県,美里町
286,宮城県,女川町
287,宮城県,南三陸町
288,秋田県,秋田市
289,秋田県,能代市
290,秋田県,横手市
291,秋田県,大館市
292,秋田県,男鹿市
293,秋田県,湯沢市
294,秋田県,鹿角市
295,秋田県,由利本荘市
296,秋田県,潟上市
297,秋田県,大仙市
298,秋田県,北秋田市
299,秋田県,にかほ市
300,秋田県,仙北市
301,秋田県,小坂町
302,秋田県,上小阿仁村
303,秋田県,藤里町
304,秋田県,三種町
305,秋田県,八峰町
306,秋田県,五城目町
307,秋田県,八郎潟町
308,秋田県,井川町
309,秋田県,大潟村
310,秋田県,美郷町
311,秋田県,羽後町
312,秋田県,東成瀬村
313,山形県,山形市
314,山形県,米沢市
315,山形県,鶴岡市
316,山形県,酒田市
317,山形県,新庄市
318,山形県,寒河江市
319,山形県,上山市
320,山形県,村山市
321,山形県,長井市
322,山形県,天童市
323,山形県,東根市
324,山形県,尾花沢市
325,山形県,南陽市
326,山形県,山辺町
327,山形県,中山町
328,山形県,河北町
329,山形県,西川町
330,山形県,朝日町
331,山形県,大江町
332,山形県,大石田町
333,山形県,金山町
334,山形県,最上町
335,山形県,舟形町
336,山形県,真室川町
337,山形県,大蔵村
338,山形県,鮭川村
339,山形県,戸沢村
340,山形県,高畠町
341,山形県,川西町
342,山形県,小国町
343,山形県,白鷹町
344,山形県,飯豊町
345,山形県,三川町
346,山形県,庄内町
347,山形県,遊佐町
348,福島県,福島市
349,福島県,会津若松市
350,福島県,郡山市
351,福島県,いわき市
352,福島県,白河市
353,福島県,須賀川市
354,福島県,喜多方市
355,福島県,相馬市
356,福島県,二本松市
357,福島県,田村市
358,福島県,南相馬市
359,福島県,伊達市
360,福島県,本宮市
361,福島県,桑折町
362,福島県,国見町
363,福島県,川俣町
364,福島県,大玉村
365,福島県,鏡石町
366,福島県,天栄村
367,福島県,下郷町
368,福島県,檜枝岐村
369,福島県,只見町
370,福島県,南会津町
371,福島県,北塩原村
372,福島県,西会津町
373,福島県,磐梯町
374,福島県,猪苗代町
375,福島県,会津坂下町
376,福島県,湯川村
377,福島県,柳津町
378,福島県,三島町
379,福島県,金山町
380,福島県,昭和村
381,福島県,会津美里町
382,福島県,西郷村
383,福島県,泉崎村
384,福島県,中島村
385,福島県,矢吹町
386,福島県,棚倉町
387,福島県,矢祭町
388,福島県,塙町
389,福島県,鮫川村
390,福島県,石川町
391,福島県,玉川村
392,福島県,平田村
393,福島県,浅川町
394,福島県,古殿町
395,福島県,三春町
396,福島県,小野町
397,福島県,広野町
398,福島県,楢葉町
399,福島県,富岡町
400,福島県,川内村
401,福島県,大熊町
402,福島県,双葉町
403,福島県,浪江町
404,福島県,葛尾村
405,福島県,新地町
406,福島県,飯舘村
407,茨城県,水戸市
408,茨城県,日立市
409,茨城県,土浦市
410,茨城県,古河市
411,茨城県,石岡市
412,茨城県,結城市
413,茨城県,龍ケ崎市
414,茨城県,下妻市
415,茨城県,常総市
416,茨城県,常陸太田市
417,茨城県,高萩市
418,茨城県,北茨城市
419,茨城県,笠間市
420,茨城県,取手市
421,茨城県,牛久市
422,茨城県,つくば市
423,茨城県,ひたちなか市
424,茨城県,鹿嶋市
425,茨城県,潮来市
426,茨城県,守谷市
427,茨城県,常陸大宮市
428,茨城県,那珂市
429,茨城県,筑西市
430,茨城県,坂東市
431,茨城県,稲敷市
432,茨城県,かすみがうら市
433,茨城県,桜川市
434,茨城県,神栖市
435,茨城県,行方市
436,茨城県,鉾田市
437,茨城県,つくばみらい市
438,茨城県,小美玉市
439,茨城県,茨城町
440,茨城県,大洗町
441,茨城県,城里町
442,茨城県,東海村
443,茨城県,大子町
444,茨城県,美浦村
445,茨城県,阿見町
446,茨城県,河内町
447,茨城県,八千代町
448,茨城県,五霞町
449,茨城県,境町
450,茨城県,利根町
451,栃木県,宇都宮市
452,栃木県,足利市
453,栃木県,栃木市
454,栃木県,佐野市
455,栃木県,鹿沼市
456,栃木県,日光市
457,栃木県,小山市
458,栃木県,真岡市
459,栃木県,大田原市
460,栃木県,矢板市
461,栃木県,那須塩原市
462,栃木県,さくら市
463,栃木県,那須烏山市
464,栃木県,下野市
465,栃木県,上三川町
466,栃木県,益子町
467,栃木県,茂木町
468,栃木県,市貝町
469,栃木県,芳賀町
470,栃木県,壬生町
471,栃木県,野木町
472,栃木県,塩谷町
473,栃木県,高根沢町
474,栃木県,那須町
475,栃木県,那珂川町
476,群馬県,前橋市
477,群馬県,高崎市
478,群馬県,桐生市
479,群馬県,伊勢崎市
480,群馬県,太田市
481,群馬県,沼田市
482,群馬県,館林市
483,群馬県,渋川市
484,群馬県,藤岡市
485,群馬県,富岡市
486,群馬県,安中市
487,群馬県,みどり市
488,群馬県,榛東村
489,群馬県,吉岡町
490,群馬県,上野村
491,群馬県,神流町
492,群馬県,下仁田町
493,群馬県,南牧村
494,群馬県,甘楽町
495,群馬県,中之条町
496,群馬県,長野原町
497,群馬県,嬬恋村
498,群馬県,草津町
499,群馬県,高山村
500,群馬県,東吾妻町
501,群馬県,片品村
502,群馬県,川場村
503,群馬県,昭和村
504,群馬県,みなかみ町
505,群馬県,玉村町
506,群馬県,板倉町
507,群馬県,明和町
508,群馬県,千代田町
509,群馬県,大泉町
510,群馬県,邑楽町
511,埼玉県,さいたま市
512,埼玉県,川越市
513,埼玉県,熊谷市
514,埼玉県,川口市
515,埼玉県,行田市
516,埼玉県,秩父市
517,埼玉県,所沢市
518,埼玉県,飯能市
519,埼玉県,加須市
520,埼玉県,本庄市
521,埼玉県,東松山市
522,埼玉県,春日部市
523,埼玉県,狭山市
524,埼玉県,羽生市
525,埼玉県,鴻巣市
526,埼玉県,深谷市
527,埼玉県,上尾市
528,埼玉県,草加市
529,埼玉県,越谷市
530,埼玉県,蕨市
531,埼玉県,戸田市
532,埼玉県,入間市
533,埼玉県,朝霞市
534,埼玉県,志木市
535,埼玉県,和光市
536,埼玉県,新座市
537,埼玉県,桶川市
538,埼玉県,久喜市
539,埼玉県,北本市
540,埼玉県,八潮市
541,埼玉県,富士見市
542,埼玉県,三郷市
543,埼玉県,蓮田市
544,埼玉県,坂戸市
545,埼玉県,幸手市
546,埼玉県,鶴ヶ島市
547,埼玉県,日高市
548,埼玉県,吉川市
549,埼玉県,ふじみ野市
550,埼玉県,白岡市
551,埼玉県,伊奈町
552,埼玉県,三芳町
553,埼玉県,毛呂山町
554,埼玉県,越生町
555,埼玉県,滑川町
556,埼玉県,嵐山町
557,埼玉県,小川町
558,埼玉県,川島町
559,埼玉県,吉見町
560,埼玉県,鳩山町
561,埼玉県,ときがわ町
562,埼玉県,横瀬町
563,埼玉県,皆野町
564,埼玉県,長瀞町
565,埼玉県,小鹿野町
566,埼玉県,東秩父村
567,埼玉県,美里町
568,埼玉県,神川町
569,埼玉県,上里町
570,埼玉県,寄居町
571,埼玉県,宮代町
572,埼玉県,杉戸町
573,埼玉県,松伏町
574,千葉県,千葉市
575,千葉県,銚子市
576,千葉県,市川市
577,千葉県,船橋市
578,千葉県,館山市
579,千葉県,木更津市
580,千葉県,松戸市
581,千葉県,野田市
582,千葉県,茂原市
583,千葉県,成田市
584,千葉県,佐倉市
585,千葉県,東金市
586,千葉県,旭市
587,千葉県,習志野市
588,千葉県,柏市
589,千葉県,勝浦市
590,千葉県,市原市
591,千葉県,流山市
592,千葉県,八千代市
593,千葉県,我孫子市
594,千葉県,鴨川市
595,千葉県,鎌ケ谷市
596,千葉県,君津市
597,千葉県,富津市
598,千葉県,浦安市
599,千葉県,四街道市
600,千葉県,袖ケ浦市
601,千葉県,八街市
602,千葉県,印西市
603,千葉県,白井市
604,千葉県,富里市
605,千葉県,南房総市
606,千葉県,匝瑳市
607,千葉県,香取市
608,千葉県,山武市
609,千葉県,いすみ市
610,千葉県,大網白里市
611,千葉県,酒々井町
612,千葉県,栄町
613,千葉県,神崎町
614,千葉県,多古町
615,千葉県,東庄町
616,千葉県,九十九里町
617,千葉県,芝山町
618,千葉県,横芝光町
619,千葉県,一宮町
620,千葉県,睦沢町
621,千葉県,長生村
622,千葉県,白子町
623,千葉県,長柄町
624,千葉県,長南町
625,千葉県,大多喜町
626,千葉県,御宿町
627,千葉県,鋸南町
628,東京都,千代田区
629,東京都,中央区
630,東京都,港区
631,東京都,新宿区
632,東京都,文京区
633,東京都,台東区
634,東京都,墨田区
635,東京都,江東区
636,東京都,品川区
637,東京都,目黒区
638,東京都,大田区
639,東京都,世田谷区
640,東京都,渋谷区
641,東京都,中野区
642,東京都,杉並区
643,東京都,豊島区
644,東京都,北区
645,東京都,荒川区
646,東京都,板橋区
647,東京都,練馬区
648,東京都,足立区
649,東京都,葛飾区
650,東京都,江戸川区
651,東京都,八王子市
652,東京都,立川市
653,東京都,武蔵野市
654,東京都,三鷹市
655,東京都,青梅市
656,東京都,府中市
657,東京都,昭島市
658,東京都,調布市
659,東京都,町田市
660,東京都,小金井市
661,東京都,小平市
662,東京都,日野市
663,東京都,東村山市
664,東京都,国分寺市
665,東京都,国立市
666,東京都,福生市
667,東京都,狛江市
668,東京都,東大和市
669,東京都,清瀬市
670,東京都,東久留米市
671,東京都,武蔵村山市
672,東京都,多摩市
673,東京都,稲城市
674,東京都,羽村市
675,東京都,あきる野市
676,東京都,西東京市
677,東京都,瑞穂町
678,東京都,日の出町
679,東京都,檜原村
680,東京都,奥多摩町
681,東京都,大島町
682,東京都,利島村
683,東京都,新島村
684,東京都,神津島村
685,東京都,三宅村
686,東京都,御蔵島村
687,東京都,八丈町
688,東京都,青ヶ島村
689,東京都,小笠原村
690,神奈川県,横浜市
691,神奈川県,川崎市
692,神奈川県,相模原市
693,神奈川県,横須賀市
694,神奈川県,平塚市
695,神奈川県,鎌倉市
696,神奈川県,藤沢市
697,神奈川県,小田原市
698,神奈川県,茅ヶ崎市
699,神奈川県,逗子市
700,神奈川県,三浦市
701,神奈川県,秦野市
702,神奈川県,厚木市
703,神奈川県,大和市
704,神奈川県,伊勢原市
705,神奈川県,海老名市
706,神奈川県,座間市
707,神奈川県,南足柄市
708,神奈川県,綾瀬市
709,神奈川県,葉山町
710,神奈川県,寒川町
711,神奈川県,大磯町
712,神奈川県,二宮町
713,神奈川県,中井町
714,神奈川県,大井町
715,神奈川県,松田町
716,神奈川県,山北町
717,神奈川県,開成町
718,神奈川県,箱根町
719,神奈川県,真鶴町
720,神奈川県,湯河原町
721,神奈川県,愛川町
722,神奈川県,清川村
723,新潟県,新潟市
724,新潟県,長岡市
725,新潟県,三条市
726,新潟県,柏崎市
727,新潟県,新発田市
728,新潟県,小千谷市
729,新潟県,加茂市
730,新潟県,十日町市
731,新潟県,見附市
732,新潟県,村上市
733,新潟県,燕市
734,新潟県,糸魚川市
735,新潟県,妙高市
736,新潟県,五泉市
737,新潟県,上越市
738,新潟県,阿賀野市
739,新潟県,佐渡市
740,新潟県,魚沼市
741,新潟県,南魚沼市
742,新潟県,胎内市
743,新潟県,聖籠町
744,新潟県,弥彦村
745,新潟県,田上町
746,新潟県,阿賀町
747,新潟県,出雲崎町
748,新潟県,湯沢町
749,新潟県,津南町
750,新潟県,刈羽村
751,新潟県,関川村
752,新潟県,粟島浦村
753,富山県,富山市
754,富山県,高岡市
755,富山県,魚津市
756,富山県,氷見市
757,富山県,滑川市
758,富山県,黒部市
759,富山県,砺波市
760,富山県,小矢部市
761,富山県,南砺市
762,富山県,射水市
763,富山県,舟橋村
764,富山県,上市町
765,富山県,立山町
766,富山県,入善町
767,富山県,朝日町
768,石川県,金沢市
769,石川県,七尾市
770,石川県,小松市
771,石川県,輪島市
772,石川県,珠洲市
773,石川県,加賀市
774,石川県,羽咋市
775,石川県,かほく市
776,石川県,白山市
777,石川県,能美市
778,石川県,野々市市
779,石川県,川北町
780,石川県,津幡町
781,石川県,内灘町
782,石川県,志賀町
783,石川県,宝達志水町
784,石川県,中能登町
785,石川県,穴水町
786,石川県,能登町
787,福井県,福井市
788,福井県,敦賀市
789,福井県,小浜市
790,福井県,大野市
791,福井県,勝山市
792,福井県,鯖江市
793,福井県,あわら市
794,福井県,越前市
795,福井県,坂井市
796,福井県,永平寺町
797,福井県,池田町
798,福井県,南越前町
799,福井県,越前町
800,福井県,美浜町
801,福井県,高浜町
802,福井県,おおい町
803,福井県,若狭町
804,山梨県,甲府市
805,山梨県,富士吉田市
806,山梨県,都留市
807,山梨県,山梨市
808,山梨県,大月市
809,山梨県,韮崎市
810,山梨県,南アルプス市
811,山梨県,北杜市
812,山梨県,甲斐市
813,山梨県,笛吹市
814,山梨県,上野原市
815,山梨県,甲州市
816,山梨県,中央市
817,山梨県,市川三郷町
818,山梨県,早川町
819,山梨県,身延町
820,山梨県,南部町
821,山梨県,富士川町
822,山梨県,昭和町
823,山梨県,道志村
824,山梨県,西桂町
825,山梨県,忍野村
826,山梨県,山中湖村
827,山梨県,鳴沢村
828,山梨県,富士河口湖町
829,山梨県,小菅村
830,山梨県,丹波山村
831,長野県,長野市
832,長野県,松本市
833,長野県,上田市
834,長野県,岡谷市
835,長野県,飯田市
836,長野県,諏訪市
837,長野県,須坂市
838,長野県,小諸市
839,長野県,伊那市
840,長野県,駒ヶ根市
841,長野県,中野市
842,長野県,大町市
843,長野県,飯山市
844,長野県,茅野市
845,長野県,塩尻市
846,長野県,佐久市
847,長野県,千曲市
848,長野県,東御市
849,長野県,安曇野市
850,長野県,小海町
851,長野県,川上村
852,長野県,南牧村
853,長野県,南相木村
854,長野県,北相木村
855,長野県,佐久穂町
856,長野県,軽井沢町
857,長野県,御代田町
858,長野県,立科町
859,長野県,青木村
860,長野県,長和町
861,長野県,下諏訪町
862,長野県,富士見町
863,長野県,原村
864,長野県,辰野町
865,長野県,箕輪町
866,長野県,飯島町
867,長野県,南箕輪村
868,長野県,中川村
869,長野県,宮田村
870,長野県,松川町
871,長野県,高森町
872,長野県,阿南町
873,長野県,阿智村
874,長野県,平谷村
875,長野県,根羽村
876,長野県,下條村
877,長野県,売木村
878,長野県,天龍村
879,長野県,泰阜村
880,長野県,喬木村
881,長野県,豊丘村
882,長野県,大鹿村
883,長野県,上松町
884,長野県,南木曽町
885,長野県,木祖村
886,長野県,王滝村
887,長野県,大桑村
888,長野県,木曽町
889,長野県,麻績村
890,長野県,生坂村
891,長野県,山形村
892,長野県,朝日村
893,長野県,筑北村
894,長野県,池田町
895,長野県,松川村
896,長野県,白馬村
897,長野県,小谷村
898,長野県,坂城町
899,長野県,小布施町
900,長野県,高山村
901,長野県,山ノ内町
902,長野県,木島平村
903,長野県,野沢温泉村
904,長野県,信濃町
905,長野県,小川村
906,長野県,飯綱町
907,長野県,栄村
908,岐阜県,岐阜市
909,岐阜県,大垣市
910,岐阜県,高山市
911,岐阜県,多治見市
912,岐阜県,関市
913,岐阜県,中津川市
914,岐阜県,美濃市
915,岐阜県,瑞浪市
916,岐阜県,羽島市
917,岐阜県,恵那市
918,岐阜県,美濃加茂市
919,岐阜県,土岐市
920,岐阜県,各務原市
921,岐阜県,可児市
922,岐阜県,山県市
923,岐阜県,瑞穂市
924,岐阜県,飛騨市
925,岐阜県,本巣市
926,岐阜県,郡上市
927,岐阜県,下呂市
928,岐阜県,海津市
929,岐阜県,岐南町
930,岐阜県,笠松町
931,岐阜県,養老町
932,岐阜県,垂井町
933,岐阜県,関ケ原町
934,岐阜県,神戸町
935,岐阜県,輪之内町
936,岐阜県,安八町
937,岐阜県,揖斐川町
938,岐阜県,大野町
939,岐阜県,池田町
940,岐阜県,北方町
941,岐阜県,坂祝町
942,岐阜県,富加町
943,岐阜県,川辺町
944,岐阜県,七宗町
945,岐阜県,八百津町
946,岐阜県,白川町
947,岐阜県,東白川村
948,岐阜県,御嵩町
949,岐阜県,白川村
950,静岡県,静岡市
951,静岡県,浜松市
952,静岡県,沼津市
953,静岡県,熱海市
954,静岡県,三島市
955,静岡県,富士宮市
956,静岡県,伊東市
957,静岡県,島田市
958,静岡県,富士市
959,静岡県,磐田市
960,静岡県,焼津市
961,静岡県,掛川市
962,静岡県,藤枝市
963,静岡県,御殿場市
964,静岡県,袋井市
965,静岡県,下田市
966,静岡県,裾野市
967,静岡県,湖西市
968,静岡県,伊豆市
969,静岡県,御前崎市
970,静岡県,菊川市
971,静岡県,伊豆の国市
972,静岡県,牧之原市
973,静岡県,東伊豆町
974,静岡県,河津町
975,静岡県,南伊豆町
976,静岡県,松崎町
977,静岡県,西伊豆町
978,静岡県,函南町
979,静岡県,清水町
980,静岡県,長泉町
981,静岡県,小山町
982,静岡県,吉田町
983,静岡県,川根本町
984,静岡県,森町
985,愛知県,名古屋市
986,愛知県,豊橋市
987,愛知県,岡崎市
988,愛知県,一宮市
989,愛知県,瀬戸市
990,愛知県,半田市
991,愛知県,春日井市
992,愛知県,豊川市
993,愛知県,津島市
994,愛知県,碧南市
995,愛知県,刈谷市
996,愛知県,豊田市
997,愛知県,安城市
998,愛知県,西尾市
999,愛知県,蒲郡市
1000,愛知県,犬山市
1001,愛知県,常滑市
1002,愛知県,江南市
1003,愛知県,小牧市
1004,愛知県,稲沢市
1005,愛知県,新城市
1006,愛知県,東海市
1007,愛知県,大府市
1008,愛知県,知多市
1009,愛知県,知立市
1010,愛知県,尾張旭市
1011,愛知県,高浜市
1012,愛知県,岩倉市
1013,愛知県,豊明市
1014,愛知県,日進市
1015,愛知県,田原市
1016,愛知県,愛西市
1017,愛知県,清須市
1018,愛知県,北名古屋市
1019,愛知県,弥富市
1020,愛知県,みよし市
1021,愛知県,あま市
1022,愛知県,長久手市
1023,愛知県,東郷町
1024,愛知県,豊山町
1025,愛知県,大口町
1026,愛知県,扶桑町
1027,愛知県,大治町
1028,愛知県,蟹江町
1029,愛知県,飛島村
1030,愛知県,阿久比町
1031,愛知県,東浦町
1032,愛知県,南知多町
1033,愛知県,美浜町
1034,愛知県,武豊町
1035,愛知県,幸田町
1036,愛知県,設楽町
1037,愛知県,東栄町
1038,愛知県,豊根村
1039,三重県,津市
1040,三重県,四日市市
1041,三重県,伊勢市
1042,三重県,松阪市
1043,三重県,桑名市
1044,三重県,鈴鹿市
1045,三重県,名張市
1046,三重県,尾鷲市
1047,三重県,亀山市
1048,三重県,鳥羽市
1049,三重県,熊野市
1050,三重県,いなべ市
1051,三重県,志摩市
1052,三重県,伊賀市
1053,三重県,木曽岬町
1054,三重県,東員町
1055,三重県,菰野町
1056,三重県,朝日町
1057,三重県,川越町
1058,三重県,多気町
1059,三重県,明和町
1060,三重県,大台町
1061,三重県,玉城町
1062,三重県,度会町
1063,三重県,大紀町
1064,三重県,南伊勢町
1065,三重県,紀北町
1066,三重県,御浜町
1067,三重県,紀宝町
1068,滋賀県,大津市
1069,滋賀県,彦根市
1070,滋賀県,長浜市
1071,滋賀県,近江八幡市
1072,滋賀県,草津市
1073,滋賀県,守山市
1074,滋賀県,栗東市
1075,滋賀県,甲賀市
1076,滋賀県,野洲市
1077,滋賀県,湖南市
1078,滋賀県,高島市
1079,滋賀県,東近江市
1080,滋賀県,米原市
1081,滋賀県,日野町
1082,滋賀県,竜王町
1083,滋賀県,愛荘町
1084,滋賀県,豊郷町
1085,滋賀県,甲良町
1086,滋賀県,多賀町
1087,京都府,京都市
1088,京都府,福知山市
1089,京都府,舞鶴市
1090,京都府,綾部市
1091,京都府,宇治市
1092,京都府,宮津市
1093,京都府,亀岡市
1094,京都府,城陽市
1095,京都府,向日市
1096,京都府,長岡京市
1097,京都府,八幡市
1098,京都府,京田辺市
1099,京都府,京丹後市
1100,京都府,南丹市
1101,京都府,木津川市
1102,京都府,大山崎町
1103,京都府,久御山町
1104,京都府,井手町
1105,京都府,宇治田原町
1106,京都府,笠置町
1107,京都府,和束町
1108,京都府,精華町
1109,京都府,南山城村
1110,京都府,京丹波町
1111,京都府,伊根町
1112,京都府,与謝野町
1113,大阪府,大阪市
1114,大阪府,堺市
1115,大阪府,岸和田市
1116,大阪府,豊中市
1117,大阪府,池田市
1118,大阪府,吹田市
1119,大阪府,泉大津市
1120,大阪府,高槻市
1121,大阪府,貝塚市
1122,大阪府,守口市
1123,大阪府,枚方市
1124,大阪府,茨木市
1125,大阪府,八尾市
1126,大阪府,泉佐野市
1127,大阪府,富田林市
1128,大阪府,寝屋川市
1129,大阪府,河内長野市
1130,大阪府,松原市
1131,大阪府,大東市
1132,大阪府,和泉市
1133,大阪府,箕面市
1134,大阪府,柏原市
1135,大阪府,羽曳野市
1136,大阪府,門真市
1137,大阪府,摂津市
1138,大阪府,高石市
1139,大阪府,藤井寺市
1140,大阪府,東大阪市
1141,大阪府,泉南市
1142,大阪府,四條畷市
1143,大阪府,交野市
1144,大阪府,大阪狭山市
1145,大阪府,阪南市
1146,大阪府,島本町
1147,大阪府,豊能町
1148,大阪府,能勢町
1149,大阪府,忠岡町
1150,大阪府,熊取町
1151,大阪府,田尻町
1152,大阪府,岬町
1153,大阪府,太子町
1154,大阪府,河南町
1155,大阪府,千早赤阪村
1156,兵庫県,神戸市
1157,兵庫県,姫路市
1158,兵庫県,尼崎市
1159,兵庫県,明石市
1160,兵庫県,西宮市
1161,兵庫県,洲本市
1162,兵庫県,芦屋市
1163,兵庫県,伊丹市
1164,兵庫県,相生市
1165,兵庫県,豊岡市
1166,兵庫県,加古川市
1167,兵庫県,赤穂市
1168,兵庫県,西脇市
1169,兵庫県,宝塚市
