,,,,rank,,,,,,
88,北海道,東神楽町,44793,1053,2.582998277,,,,,
89,北海道,当麻町,44793,1053,2.582998277,,,,,
90,北海道,比布町,44793,1053,2.582998277,,,,,
91,北海道,愛別町,44793,1053,2.582998277,,,,,
92,北海道,上川町,44793,1053,2.582998277,,,,,
93,北海道,東川町,44793,1053,2.582998277,,,,,
94,北海道,美瑛町,44793,1053,2.582998277,,,,,
95,北海道,上富良野町,44793,1053,2.582998277,,,,,
96,北海道,中富良野町,44793,1053,2.582998277,,,,,
97,北海道,南富良野町,44793,1053,2.582998277,,,,,
98,北海道,占冠村,44793,1053,2.582998277,,,,,
99,北海道,和寒町,44793,1053,2.582998277,,,,,
100,北海道,剣淵町,44793,1053,2.582998277,,,,,
101,北海道,下川町,44793,1053,2.582998277,,,,,
102,北海道,美深町,44793,1053,2.582998277,,,,,
103,北海道,音威子府村,44793,1053,2.582998277,,,,,
104,北海道,中川町,44793,1053,2.582998277,,,,,
105,北海道,幌加内町,44793,1053,2.582998277,,,,,
106,北海道,増毛町,44793,1053,2.582998277,,,,,
107,北海道,小平町,44793,1053,2.582998277,,,,,
108,北海道,苫前町,44793,1053,2.582998277,,,,,
109,北海道,羽幌町,44793,1053,2.582998277,,,,,
110,北海道,初山別村,44793,1053,2.582998277,,,,,
111,北海道,遠別町,44793,1053,2.582998277,,,,,
112,北海道,天塩町,44793,1053,2.582998277,,,,,
113,北海道,猿払村,44793,1053,2.582998277,,,,,
114,北海道,浜頓別町,44793,1053,2.582998277,,,,,
115,北海道,中頓別町,44793,1053,2.582998277,,,,,
116,北海道,枝幸町,44793,1053,2.582998277,,,,,
117,北海道,豊富町,44793,1053,2.582998277,,,,,
118,北海道,礼文町,44793,1053,2.582998277,,,,,
119,北海道,利尻町,44793,1053,2.582998277,,,,,
120,北海道,利尻富士町,44793,1053,2.582998277,,,,,
121,北海道,幌延町,44793,1053,2.582998277,,,,,
122,北海道,美幌町,44793,1053,2.582998277,,,,,
123,北海道,津別町,44793,1053,2.582998277,,,,,
124,北海道,斜里町,44793,1053,2.582998277,,,,,
125,北海道,清里町,44793,1053,2.582998277,,,,,
126,北海道,小清水町,44793,1053,2.582998277,,,,,
127,北海道,訓子府町,44793,1053,2.582998277,,,,,
128,北海道,置戸町,44793,1053,2.582998277,,,,,
129,北海道,佐呂間町,44793,1053,2.582998277,,,,,
130,北海道,遠軽町,44793,1053,2.582998277,,,,,
131,北海道,湧別町,44793,1053,2.582998277,,,,,
132,北海道,滝上町,44793,1053,2.582998277,,,,,
133,北海道,興部町,44793,1053,2.582998277,,,,,
134,北海道,西興部村,44793,1053,2.582998277,,,,,
135,北海道,雄武町,44793,1053,2.582998277,,,,,
136,北海道,大空町,44793,1053,2.582998277,,,,,
137,北海道,豊浦町,44793,1053,2.582998277,,,,,
138,北海道,壮瞥町,44793,1053,2.582998277,,,,,
139,北海道,白老町,44793,1053,2.582998277,,,,,
140,北海道,厚真町,44793,1053,2.582998277,,,,,
141,北海道,洞爺湖町,44793,1053,2.582998277,,,,,
142,北海道,安平町,44793,1053,2.582998277,,,,,
143,北海道,むかわ町,44793,1053,2.582998277,,,,,
144,北海道,日高町,44793,1053,2.582998277,,,,,
145,北海道,平取町,44793,1053,2.582998277,,,,,
146,北海道,新冠町,44793,1053,2.582998277,,,,,
147,北海道,浦河町,44793,1053,2.582998277,,,,,
148,北海道,様似町,44793,1053,2.582998277,,,,,
149,北海道,えりも町,44793,1053,2.582998277,,,,,
150,北海道,新ひだか町,44793,1053,2.582998277,,,,,
151,北海道,音更町,44793,1053,2.582998277,,,,,
152,北海道,士幌町,44793,1053,2.582998277,,,,,
153,北海道,上士幌町,44793,1053,2.582998277,,,,,
154,北海道,鹿追町,44793,1053,2.582998277,,,,,
155,北海道,新得町,44793,1053,2.582998277,,,,,
156,北海道,清水町,44793,1053,2.582998277,,,,,
157,北海道,芽室町,44793,1053,2.582998277,,,,,
158,北海道,中札内村,44793,1053,2.582998277,,,,,
159,北海道,更別村,44793,1053,2.582998277,,,,,
160,北海道,大樹町,44793,1053,2.582998277,,,,,
161,北海道,広尾町,44793,1053,2.582998277,,,,,
162,北海道,幕別町,44793,1053,2.582998277,,,,,
163,北海道,池田町,44793,1053,2.582998277,,,,,
164,北海道,豊頃町,44793,1053,2.582998277,,,,,
165,北海道,本別町,44793,1053,2.582998277,,,,,
166,北海道,足寄町,44793,1053,2.582998277,,,,,
167,北海道,陸別町,44793,1053,2.582998277,,,,,
168,北海道,浦幌町,44793,1053,2.582998277,,,,,
169,北海道,釧路町,44793,1053,2.582998277,,,,,
170,北海道,厚岸町,44793,1053,2.582998277,,,,,
171,北海道,浜中町,44793,1053,2.582998277,,,,,
172,北海道,標茶町,44793,1053,2.582998277,,,,,
173,北海道,弟子屈町,44793,1053,2.582998277,,,,,
174,北海道,鶴居村,44793,1053,2.582998277,,,,,
175,北海道,白糠町,44793,1053,2.582998277,,,,,
176,北海道,別海町,44793,1053,2.582998277,,,,,
177,北海道,中標津町,44793,1053,2.582998277,,,,,
178,北海道,標津町,44793,1053,2.582998277,,,,,
179,北海道,羅臼町,44793,1053,2.582998277,,,,,
180,青森県,青森市,40238,1659,1.190695003,,,,,
181,青森県,弘前市,40238,1659,1.190695003,,,,,
182,青森県,八戸市,40238,1659,1.190695003,,,,,
183,青森県,黒石市,40238,1659,1.190695003,,,,,
184,青森県,五所川原市,40238,1659,1.190695003,,,,,
185,青森県,十和田市,40238,1659,1.190695003,,,,,
186,青森県,三沢市,40238,1659,1.190695003,,,,,
187,青森県,むつ市,40238,1659,1.190695003,,,,,
188,青森県,つがる市,40238,1659,1.190695003,,,,,
189,青森県,平川市,40238,1659,1.190695003,,,,,
190,青森県,平内町,40238,1659,1.190695003,,,,,
191,青森県,今別町,40238,1659,1.190695003,,,,,
192,青森県,蓬田村,40238,1659,1.190695003,,,,,
193,青森県,外ヶ浜町,40238,1659,1.190695003,,,,,
194,青森県,鰺ヶ沢町,40238,1659,1.190695003,,,,,
195,青森県,深浦町,40238,1659,1.190695003,,,,,
196,青森県,西目屋村,40238,1659,1.190695003,,,,,
197,青森県,藤崎町,40238,1659,1.190695003,,,,,
198,青森県,大鰐町,40238,1659,1.190695003,,,,,
199,青森県,田舎館村,40238,1659,1.190695003,,,,,
200,青森県,板柳町,40238,1659,1.190695003,,,,,
201,青森県,鶴田町,40238,1659,1.190695003,,,,,
202,青森県,中泊町,40238,1659,1.190695003,,,,,
203,青森県,野辺地町,40238,1659,1.190695003,,,,,
204,青森県,七戸町,40238,1659,1.190695003,,,,,
205,青森県,六戸町,40238,1659,1.190695003,,,,,
206,青森県,横浜町,40238,1659,1.190695003,,,,,
207,青森県,東北町,40238,1659,1.190695003,,,,,
208,青森県,六ヶ所村,40238,1659,1.190695003,,,,,
209,青森県,おいらせ町,40238,1659,1.190695003,,,,,
210,青森県,大間町,40238,1659,1.190695003,,,,,
211,青森県,東通村,40238,1659,1.190695003,,,,,
212,青森県,風間浦村,40238,1659,1.190695003,,,,,
213,青森県,佐井村,40238,1659,1.190695003,,,,,
214,青森県,三戸町,40238,1659,1.190695003,,,,,
215,青森県,五戸町,40238,1659,1.190695003,,,,,
216,青森県,田子町,40238,1659,1.190695003,,,,,
217,青森県,南部町,40238,1659,1.190695003,,,,,
218,青森県,階上町,40238,1659,1.190695003,,,,,
219,青森県,新郷村,40238,1659,1.190695003,,,,,
220,岩手県,盛岡市,42978,1392,1.804135554,,,,,
221,岩手県,宮古市,42978,1392,1.804135554,,,,,
222,岩手県,大船渡市,42978,1392,1.804135554,,,,,
223,岩手県,花巻市,42978,1392,1.804135554,,,,,
224,岩手県,北上市,42978,1392,1.804135554,,,,,
225,岩手県,久慈市,42978,1392,1.804135554,,,,,
226,岩手県,遠野市,42978,1392,1.804135554,,,,,
227,岩手県,一関市,42978,1392,1.804135554,,,,,
228,岩手県,陸前高田市,42978,1392,1.804135554,,,,,
229,岩手県,釜石市,42978,1392,1.804135554,,,,,
230,岩手県,二戸市,42978,1392,1.804135554,,,,,
231,岩手県,八幡平市,42978,1392,1.804135554,,,,,
232,岩手県,奥州市,42978,1392,1.804135554,,,,,
233,岩手県,滝沢市,42978,1392,1.804135554,,,,,
234,岩手県,雫石町,42978,1392,1.804135554,,,,,
235,岩手県,葛巻町,42978,1392,1.804135554,,,,,
236,岩手県,岩手町,42978,1392,1.804135554,,,,,
237,岩手県,紫波町,42978,1392,1.804135554,,,,,
238,岩手県,矢巾町,42978,1392,1.804135554,,,,,
239,岩手県,西和賀町,42978,1392,1.804135554,,,,,
240,岩手県,金ケ崎町,42978,1392,1.804135554,,,,,
241,岩手県,平泉町,42978,1392,1.804135554,,,,,
242,岩手県,住田町,42978,1392,1.804135554,,,,,
243,岩手県,大槌町,42978,1392,1.804135554,,,,,
244,岩手県,山田町,42978,1392,1.804135554,,,,,
245,岩手県,岩泉町,42978,1392,1.804135554,,,,,
246,岩手県,田野畑村,42978,1392,1.804135554,,,,,
247,岩手県,普代村,42978,1392,1.804135554,,,,,
248,岩手県,軽米町,42978,1392,1.804135554,,,,,
249,岩手県,野田村,42978,1392,1.804135554,,,,,
250,岩手県,九戸村,42978,1392,1.804135554,,,,,
251,岩手県,洋野町,42978,1392,1.804135554,,,,,
252,岩手県,一戸町,42978,1392,1.804135554,,,,,
253,宮城県,仙台市,51110,534,3.775416427,,,,,
254,宮城県,石巻市,51110,534,3.775416427,,,,,
255,宮城県,塩竈市,51110,534,3.775416427,,,,,
256,宮城県,気仙沼市,51110,534,3.775416427,,,,,
257,宮城県,白石市,51110,534,3.775416427,,,,,
258,宮城県,名取市,51110,534,3.775416427,,,,,
259,宮城県,角田市,51110,534,3.775416427,,,,,
260,宮城県,多賀城市,51110,534,3.775416427,,,,,
261,宮城県,岩沼市,51110,534,3.775416427,,,,,
262,宮城県,登米市,51110,534,3.775416427,,,,,
263,宮城県,栗原市,51110,534,3.775416427,,,,,
264,宮城県,東松島市,51110,534,3.775416427,,,,,
265,宮城県,大崎市,51110,534,3.775416427,,,,,
266,宮城県,富谷市,51110,534,3.775416427,,,,,
267,宮城県,蔵王町,51110,534,3.775416427,,,,,
268,宮城県,七ヶ宿町,51110,534,3.775416427,,,,,
269,宮城県,大河原町,51110,534,3.775416427,,,,,
270,宮城県,村田町,51110,534,3.775416427,,,,,
271,宮城県,柴田町,51110,534,3.775416427,,,,,
272,宮城県,川崎町,51110,534,3.775416427,,,,,
273,宮城県,丸森町,51110,534,3.775416427,,,,,
274,宮城県,亘理町,51110,534,3.775416427,,,,,
275,宮城県,山元町,51110,534,3.775416427,,,,,
276,宮城県,松島町,51110,534,3.775416427,,,,,
277,宮城県,七ヶ浜町,51110,534,3.775416427,,,,,
278,宮城県,利府町,51110,534,3.775416427,,,,,
279,宮城県,大和町,51110,534,3.775416427,,,,,
280,宮城県,大郷町,51110,534,3.775416427,,,,,
281,宮城県,大衡村,51110,534,3.775416427,,,,,
282,宮城県,色麻町,51110,534,3.775416427,,,,,
283,宮城県,加美町,51110,534,3.775416427,,,,,
284,宮城県,涌谷町,51110,534,3.775416427,,,,,
285,宮城県,美里町,51110,534,3.775416427,,,,,
286,宮城県,女川町,51110,534,3.775416427,,,,,
287,宮城県,南三陸町,51110,534,3.775416427,,,,,
288,秋田県,秋田市,41986,1551,1.43882826,,,,,
289,秋田県,能代市,41986,1551,1.43882826,,,,,
290,秋田県,横手市,41986,1551,1.43882826,,,,,
291,秋田県,大館市,41986,1551,1.43882826,,,,,
292,秋田県,男鹿市,41986,1551,1.43882826,,,,,
293,秋田県,湯沢市,41986,1551,1.43882826,,,,,
294,秋田県,鹿角市,41986,1551,1.43882826,,,,,
295,秋田県,由利本荘市,41986,1551,1.43882826,,,,,
296,秋田県,潟上市,41986,1551,1.43882826,,,,,
297,秋田県,大仙市,41986,1551,1.43882826,,,,,
298,秋田県,北秋田市,41986,1551,1.43882826,,,,,
299,秋田県,にかほ市,41986,1551,1.43882826,,,,,
300,秋田県,仙北市,41986,1551,1.43882826,,,,,
301,秋田県,小坂町,41986,1551,1.43882826,,,,,
302,秋田県,上小阿仁村,41986,1551,1.43882826,,,,,
303,秋田県,藤里町,41986,1551,1.43882826,,,,,
304,秋田県,三種町,41986,1551,1.43882826,,,,,
305,秋田県,八峰町,41986,1551,1.43882826,,,,,
306,秋田県,五城目町,41986,1551,1.43882826,,,,,
307,秋田県,八郎潟町,41986,1551,1.43882826,,,,,
308,秋田県,井川町,41986,1551,1.43882826,,,,,
309,秋田県,大潟村,41986,1551,1.43882826,,,,,
310,秋田県,美郷町,41986,1551,1.43882826,,,,,
311,秋田県,羽後町,41986,1551,1.43882826,,,,,
312,秋田県,東成瀬村,41986,1551,1.43882826,,,,,
313,山形県,山形市,44936,1018,2.663411832,,,,,
314,山形県,米沢市,44936,1018,2.663411832,,,,,
315,山形県,鶴岡市,44936,1018,2.663411832,,,,,
316,山形県,酒田市,44936,1018,2.663411832,,,,,
317,山形県,新庄市,44936,1018,2.663411832,,,,,
318,山形県,寒河江市,44936,1018,2.663411832,,,,,
319,山形県,上山市,44936,1018,2.663411832,,,,,
320,山形県,村山市,44936,1018,2.663411832,,,,,
321,山形県,長井市,44936,1018,2.663411832,,,,,
322,山形県,天童市,44936,1018,2.663411832,,,,,
323,山形県,東根市,44936,1018,2.663411832,,,,,
324,山形県,尾花沢市,44936,1018,2.663411832,,,,,
325,山形県,南陽市,44936,1018,2.663411832,,,,,
326,山形県,山辺町,44936,1018,2.663411832,,,,,
327,山形県,中山町,44936,1018,2.663411832,,,,,
328,山形県,河北町,44936,1018,2.663411832,,,,,
329,山形県,西川町,44936,1018,2.663411832,,,,,
330,山形県,朝日町,44936,1018,2.663411832,,,,,
331,山形県,大江町,44936,1018,2.663411832,,,,,
332,山形県,大石田町,44936,1018,2.663411832,,,,,
333,山形県,金山町,44936,1018,2.663411832,,,,,
334,山形県,最上町,44936,1018,2.663411832,,,,,
335,山形県,舟形町,44936,1018,2.663411832,,,,,
336,山形県,真室川町,44936,1018,2.663411832,,,,,
337,山形県,大蔵村,44936,1018,2.663411832,,,,,
338,山形県,鮭川村,44936,1018,2.663411832,,,,,
339,山形県,戸沢村,44936,1018,2.663411832,,,,,
340,山形県,高畠町,44936,1018,2.663411832,,,,,
341,山形県,川西町,44936,1018,2.663411832,,,,,
342,山形県,小国町,44936,1018,2.663411832,,,,,
343,山形県,白鷹町,44936,1018,2.663411832,,,,,
344,山形県,飯豊町,44936,1018,2.663411832,,,,,
345,山形県,三川町,44936,1018,2.663411832,,,,,
346,山形県,庄内町,44936,1018,2.663411832,,,,,
347,山形県,遊佐町,44936,1018,2.663411832,,,,,
348,福島県,福島市,44001,1312,1.987937967,,,,,
349,福島県,会津若松市,44001,1312,1.987937967,,,,,
350,福島県,郡山市,44001,1312,1.987937967,,,,,
351,福島県,いわき市,44001,1312,1.987937967,,,,,
352,福島県,白河市,44001,1312,1.987937967,,,,,
353,福島県,須賀川市,44001,1312,1.987937967,,,,,
354,福島県,喜多方市,44001,1312,1.987937967,,,,,
355,福島県,相馬市,44001,1312,1.987937967,,,,,
356,福島県,二本松市,44001,1312,1.987937967,,,,,
357,福島県,田村市,44001,1312,1.987937967,,,,,
358,福島県,南相馬市,44001,1312,1.987937967,,,,,
359,福島県,伊達市,44001,1312,1.987937967,,,,,
360,福島県,本宮市,44001,1312,1.987937967,,,,,
361,福島県,桑折町,44001,1312,1.987937967,,,,,
362,福島県,国見町,44001,1312,1.987937967,,,,,
363,福島県,川俣町,44001,1312,1.987937967,,,,,
364,福島県,大玉村,44001,1312,1.987937967,,,,,
365,福島県,鏡石町,44001,1312,1.987937967,,,,,
366,福島県,天栄村,44001,1312,1.987937967,,,,,
367,福島県,下郷町,44001,1312,1.987937967,,,,,
368,福島県,檜枝岐村,44001,1312,1.987937967,,,,,
369,福島県,只見町,44001,1312,1.987937967,,,,,
370,福島県,南会津町,44001,1312,1.987937967,,,,,
371,福島県,北塩原村,44001,1312,1.987937967,,,,,
372,福島県,西会津町,44001,1312,1.987937967,,,,,
373,福島県,磐梯町,44001,1312,1.987937967,,,,,
374,福島県,猪苗代町,44001,1312,1.987937967,,,,,
375,福島県,会津坂下町,44001,1312,1.987937967,,,,,
376,福島県,湯川村,44001,1312,1.987937967,,,,,
377,福島県,柳津町,44001,1312,1.987937967,,,,,
378,福島県,三島町,44001,1312,1.987937967,,,,,
379,福島県,金山町,44001,1312,1.987937967,,,,,
380,福島県,昭和村,44001,1312,1.987937967,,,,,
381,福島県,会津美里町,44001,1312,1.987937967,,,,,
382,福島県,西郷村,44001,1312,1.987937967,,,,,
383,福島県,泉崎村,44001,1312,1.987937967,,,,,
384,福島県,中島村,44001,1312,1.987937967,,,,,
385,福島県,矢吹町,44001,1312,1.987937967,,,,,
386,福島県,棚倉町,44001,1312,1.987937967,,,,,
387,福島県,矢祭町,44001,1312,1.987937967,,,,,
388,福島県,塙町,44001,1312,1.987937967,,,,,
389,福島県,鮫川村,44001,1312,1.987937967,,,,,
390,福島県,石川町,44001,1312,1.987937967,,,,,
391,福島県,玉川村,44001,1312,1.987937967,,,,,
392,福島県,平田村,44001,1312,1.987937967,,,,,
393,福島県,浅川町,44001,1312,1.987937967,,,,,
394,福島県,古殿町,44001,1312,1.987937967,,,,,
395,福島県,三春町,44001,1312,1.987937967,,,,,
396,福島県,小野町,44001,1312,1.987937967,,,,,
397,福島県,広野町,44001,1312,1.987937967,,,,,
398,福島県,楢葉町,44001,1312,1.987937967,,,,,
399,福島県,富岡町,44001,1312,1.987937967,,,,,
400,福島県,川内村,44001,1312,1.987937967,,,,,
401,福島県,大熊町,44001,1312,1.987937967,,,,,
402,福島県,双葉町,44001,1312,1.987937967,,,,,
403,福島県,浪江町,44001,1312,1.987937967,,,,,
404,福島県,葛尾村,44001,1312,1.987937967,,,,,
405,福島県,新地町,44001,1312,1.987937967,,,,,
406,福島県,飯舘村,44001,1312,1.987937967,,,,,
407,茨城県,水戸市,47524,656,3.495117748,,,,,
408,茨城県,日立市,47524,656,3.495117748,,,,,
409,茨城県,土浦市,47524,656,3.495117748,,,,,
410,茨城県,古河市,47524,656,3.495117748,,,,,
411,茨城県,石岡市,47524,656,3.495117748,,,,,
412,茨城県,結城市,47524,656,3.495117748,,,,,
413,茨城県,龍ケ崎市,47524,656,3.495117748,,,,,
414,茨城県,下妻市,47524,656,3.495117748,,,,,
415,茨城県,常総市,47524,656,3.495117748,,,,,
416,茨城県,常陸太田市,47524,656,3.495117748,,,,,
417,茨城県,高萩市,47524,656,3.495117748,,,,,
418,茨城県,北茨城市,47524,656,3.495117748,,,,,
419,茨城県,笠間市,47524,656,3.495117748,,,,,
420,茨城県,取手市,47524,656,3.495117748,,,,,
421,茨城県,牛久市,47524,656,3.495117748,,,,,
422,茨城県,つくば市,47524,656,3.495117748,,,,,
423,茨城県,ひたちなか市,47524,656,3.495117748,,,,,
424,茨城県,鹿嶋市,47524,656,3.495117748,,,,,
425,茨城県,潮来市,47524,656,3.495117748,,,,,
426,茨城県,守谷市,47524,656,3.495117748,,,,,
427,茨城県,常陸大宮市,47524,656,3.495117748,,,,,
428,茨城県,那珂市,47524,656,3.495117748,,,,,
429,茨城県,筑西市,47524,656,3.495117748,,,,,
430,茨城県,坂東市,47524,656,3.495117748,,,,,
431,茨城県,稲敷市,47524,656,3.495117748,,,,,
432,茨城県,かすみがうら市,47524,656,3.495117748,,,,,
433,茨城県,桜川市,47524,656,3.495117748,,,,,
434,茨城県,神栖市,47524,656,3.495117748,,,,,
435,茨城県,行方市,47524,656,3.495117748,,,,,
436,茨城県,鉾田市,47524,656,3.495117748,,,,,
437,茨城県,つくばみらい市,47524,656,3.495117748,,,,,
438,茨城県,小美玉市,47524,656,3.495117748,,,,,
439,茨城県,茨城町,47524,656,3.495117748,,,,,
440,茨城県,大洗町,47524,656,3.495117748,,,,,
441,茨城県,城里町,47524,656,3.495117748,,,,,
442,茨城県,東海村,47524,656,3.495117748,,,,,
443,茨城県,大子町,47524,656,3.495117748,,,,,
444,茨城県,美浦村,47524,656,3.495117748,,,,,
445,茨城県,阿見町,47524,656,3.495117748,,,,,
446,茨城県,河内町,47524,656,3.495117748,,,,,
447,茨城県,八千代町,47524,656,3.495117748,,,,,
448,茨城県,五霞町,47524,656,3.495117748,,,,,
449,茨城県,境町,47524,656,3.495117748,,,,,
450,茨城県,利根町,47524,656,3.495117748,,,,,
451,栃木県,宇都宮市,46642,729,3.327398047,,,,,
452,栃木県,足利市,46642,729,3.327398047,,,,,
453,栃木県,栃木市,46642,729,3.327398047,,,,,
454,栃木県,佐野市,46642,729,3.327398047,,,,,
455,栃木県,鹿沼市,46642,729,3.327398047,,,,,
456,栃木県,日光市,46642,729,3.327398047,,,,,
457,栃木県,小山市,46642,729,3.327398047,,,,,
458,栃木県,真岡市,46642,729,3.327398047,,,,,
459,栃木県,大田原市,46642,729,3.327398047,,,,,
460,栃木県,矢板市,46642,729,3.327398047,,,,,
461,栃木県,那須塩原市,46642,729,3.327398047,,,,,
462,栃木県,さくら市,46642,729,3.327398047,,,,,
463,栃木県,那須烏山市,46642,729,3.327398047,,,,,
464,栃木県,下野市,46642,729,3.327398047,,,,,
465,栃木県,上三川町,46642,729,3.327398047,,,,,
466,栃木県,益子町,46642,729,3.327398047,,,,,
467,栃木県,茂木町,46642,729,3.327398047,,,,,
468,栃木県,市貝町,46642,729,3.327398047,,,,,
469,栃木県,芳賀町,46642,729,3.327398047,,,,,
470,栃木県,壬生町,46642,729,3.327398047,,,,,
471,栃木県,野木町,46642,729,3.327398047,,,,,
472,栃木県,塩谷町,46642,729,3.327398047,,,,,
473,栃木県,高根沢町,46642,729,3.327398047,,,,,
474,栃木県,那須町,46642,729,3.327398047,,,,,
475,栃木県,那珂川町,46642,729,3.327398047,,,,,
476,群馬県,前橋市,44268,1277,2.068351522,,,,,
477,群馬県,高崎市,44268,1277,2.068351522,,,,,
478,群馬県,桐生市,44268,1277,2.068351522,,,,,
479,群馬県,伊勢崎市,44268,1277,2.068351522,,,,,
480,群馬県,太田市,44268,1277,2.068351522,,,,,
481,群馬県,沼田市,44268,1277,2.068351522,,,,,
482,群馬県,館林市,44268,1277,2.068351522,,,,,
483,群馬県,渋川市,44268,1277,2.068351522,,,,,
484,群馬県,藤岡市,44268,1277,2.068351522,,,,,
485,群馬県,富岡市,44268,1277,2.068351522,,,,,
486,群馬県,安中市,44268,1277,2.068351522,,,,,
487,群馬県,みどり市,44268,1277,2.068351522,,,,,
488,群馬県,榛東村,44268,1277,2.068351522,,,,,
489,群馬県,吉岡町,44268,1277,2.068351522,,,,,
490,群馬県,上野村,44268,1277,2.068351522,,,,,
491,群馬県,神流町,44268,1277,2.068351522,,,,,
492,群馬県,下仁田町,44268,1277,2.068351522,,,,,
493,群馬県,南牧村,44268,1277,2.068351522,,,,,
