Number,都道府県,市区町村,検索件数,検索URL,,Afghanistan
11,北海道,網走市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E7%B6%B2%E8%B5%B0%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Bahamas
12,北海道,留萌市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E7%95%99%E8%90%8C%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Bahrain
13,北海道,苫小牧市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E8%8B%AB%E5%B0%8F%E7%89%A7%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Bangladesh
14,北海道,稚内市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E7%A8%9A%E5%86%85%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Barbados
15,北海道,美唄市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E7%BE%8E%E5%94%84%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Belarus
16,北海道,芦別市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E8%8A%A6%E5%88%A5%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Belgium
17,北海道,江別市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E6%B1%9F%E5%88%A5%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Belize
18,北海道,赤平市,8,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E8%B5%A4%E5%B9%B3%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,1.510051694,Benin
19,北海道,紋別市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E7%B4%8B%E5%88%A5%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Bhutan
20,北海道,士別市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E5%A3%AB%E5%88%A5%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Bolivia
21,北海道,名寄市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E5%90%8D%E5%AF%84%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Bosnia and Herzegovina
22,北海道,三笠市,17,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E4%B8%89%E7%AC%A0%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,2.47960942,Botswana
23,北海道,根室市,17,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E6%A0%B9%E5%AE%A4%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,2.47960942,Brazil
24,北海道,千歳市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E5%8D%83%E6%AD%B3%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Brunei
25,北海道,滝川市,10,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E6%BB%9D%E5%B7%9D%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,1.700746697,Bulgaria
26,北海道,砂川市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E7%A0%82%E5%B7%9D%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Burkina Faso
27,北海道,歌志内市,2,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E6%AD%8C%E5%BF%97%E5%86%85%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,1.133256749,Burundi
28,北海道,深川市,10,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E6%B7%B1%E5%B7%9D%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,1.700746697,Cabo Verde
29,北海道,富良野市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E5%AF%8C%E8%89%AF%E9%87%8E%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Cambodia
30,北海道,登別市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E7%99%BB%E5%88%A5%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Cameroon
31,北海道,恵庭市,18,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E6%81%B5%E5%BA%AD%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,2.582998277,Canada
32,北海道,伊達市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E4%BC%8A%E9%81%94%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Central African Republic
33,北海道,北広島市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E5%8C%97%E5%BA%83%E5%B3%B6%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Chad
34,北海道,石狩市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E7%9F%B3%E7%8B%A9%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Chile
35,北海道,北斗市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E5%8C%97%E6%96%97%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,China
36,北海道,当別町,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E5%BD%93%E5%88%A5%E7%94%BA%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Colombia
37,北海道,新篠津村,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E6%96%B0%E7%AF%A0%E6%B4%A5%E6%9D%91%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Comoros
38,北海道,松前町,14,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E6%9D%BE%E5%89%8D%E7%94%BA%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,2.134979897,Congo (Congo-Brazzaville)
39,北海道,福島町,1,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E7%A6%8F%E5%B3%B6%E7%94%BA%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,1.094198736,Costa Rica
40,北海道,知内町,6,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E7%9F%A5%E5%86%85%E7%94%BA%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,1.369902355,Croatia
41,北海道,木古内町,12,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%A8%E5%8F%A4%E5%86%85%E7%94%BA%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,1.905226881,Cuba
42,北海道,七飯町,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E4%B8%83%E9%A3%AF%E7%94%BA%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Cyprus
43,北海道,鹿部町,1,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E9%B9%BF%E9%83%A8%E7%94%BA%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,1.094198736,Czech Republic
44,北海道,森町,19,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E6%A3%AE%E7%94%BA%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,2.688684664,Democratic Republic of the Congo
45,北海道,八雲町,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E5%85%AB%E9%9B%B2%E7%94%BA%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Denmark
46,北海道,長万部町,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E9%95%B7%E4%B8%87%E9%83%A8%E7%94%BA%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Djibouti
47,北海道,江差町,19,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E6%B1%9F%E5%B7%AE%E7%94%BA%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,2.688684664,Dominica
48,北海道,上ノ国町,3,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E4%B8%8A%E3%83%8E%E5%9B%BD%E7%94%BA%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,1.176909822,Dominican Republic
49,北海道,厚沢部町,8,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E5%8E%9A%E6%B2%A2%E9%83%A8%E7%94%BA%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,1.510051694,Ecuador
50,北海道,乙部町,12,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E4%B9%99%E9%83%A8%E7%94%BA%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,1.905226881,Egypt
51,北海道,奥尻町,16,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E5%A5%A5%E5%B0%BB%E7%94%BA%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,2.364732912,El Salvador
52,北海道,今金町,17,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E4%BB%8A%E9%87%91%E7%94%BA%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,2.47960942,Equatorial Guinea
