,,,気温,
352,福島県,白河市,15.3,2.17863297
353,福島県,須賀川市,15.3,2.17863297
354,福島県,喜多方市,15.3,2.17863297
355,福島県,相馬市,15.3,2.17863297
356,福島県,二本松市,15.3,2.17863297
357,福島県,田村市,15.3,2.17863297
358,福島県,南相馬市,15.3,2.17863297
359,福島県,伊達市,15.3,2.17863297
360,福島県,本宮市,15.3,2.17863297
361,福島県,桑折町,15.3,2.17863297
362,福島県,国見町,15.3,2.17863297
363,福島県,川俣町,15.3,2.17863297
364,福島県,大玉村,15.3,2.17863297
365,福島県,鏡石町,15.3,2.17863297
366,福島県,天栄村,15.3,2.17863297
367,福島県,下郷町,15.3,2.17863297
368,福島県,檜枝岐村,15.3,2.17863297
369,福島県,只見町,15.3,2.17863297
370,福島県,南会津町,15.3,2.17863297
371,福島県,北塩原村,15.3,2.17863297
372,福島県,西会津町,15.3,2.17863297
373,福島県,磐梯町,15.3,2.17863297
374,福島県,猪苗代町,15.3,2.17863297
375,福島県,会津坂下町,15.3,2.17863297
376,福島県,湯川村,15.3,2.17863297
377,福島県,柳津町,15.3,2.17863297
378,福島県,三島町,15.3,2.17863297
379,福島県,金山町,15.3,2.17863297
380,福島県,昭和村,15.3,2.17863297
381,福島県,会津美里町,15.3,2.17863297
382,福島県,西郷村,15.3,2.17863297
383,福島県,泉崎村,15.3,2.17863297
384,福島県,中島村,15.3,2.17863297
385,福島県,矢吹町,15.3,2.17863297
386,福島県,棚倉町,15.3,2.17863297
387,福島県,矢祭町,15.3,2.17863297
388,福島県,塙町,15.3,2.17863297
389,福島県,鮫川村,15.3,2.17863297
390,福島県,石川町,15.3,2.17863297
391,福島県,玉川村,15.3,2.17863297
392,福島県,平田村,15.3,2.17863297
393,福島県,浅川町,15.3,2.17863297
394,福島県,古殿町,15.3,2.17863297
395,福島県,三春町,15.3,2.17863297
396,福島県,小野町,15.3,2.17863297
397,福島県,広野町,15.3,2.17863297
398,福島県,楢葉町,15.3,2.17863297
399,福島県,富岡町,15.3,2.17863297
400,福島県,川内村,15.3,2.17863297
401,福島県,大熊町,15.3,2.17863297
402,福島県,双葉町,15.3,2.17863297
403,福島県,浪江町,15.3,2.17863297
404,福島県,葛尾村,15.3,2.17863297
405,福島県,新地町,15.3,2.17863297
406,福島県,飯舘村,15.3,2.17863297
407,茨城県,水戸市,16.2,2.371625503
408,茨城県,日立市,16.2,2.371625503
409,茨城県,土浦市,16.2,2.371625503
410,茨城県,古河市,16.2,2.371625503
411,茨城県,石岡市,16.2,2.371625503
412,茨城県,結城市,16.2,2.371625503
413,茨城県,龍ケ崎市,16.2,2.371625503
414,茨城県,下妻市,16.2,2.371625503
415,茨城県,常総市,16.2,2.371625503
416,茨城県,常陸太田市,16.2,2.371625503
417,茨城県,高萩市,16.2,2.371625503
418,茨城県,北茨城市,16.2,2.371625503
419,茨城県,笠間市,16.2,2.371625503
420,茨城県,取手市,16.2,2.371625503
421,茨城県,牛久市,16.2,2.371625503
422,茨城県,つくば市,16.2,2.371625503
423,茨城県,ひたちなか市,16.2,2.371625503
424,茨城県,鹿嶋市,16.2,2.371625503
425,茨城県,潮来市,16.2,2.371625503
426,茨城県,守谷市,16.2,2.371625503
427,茨城県,常陸大宮市,16.2,2.371625503
428,茨城県,那珂市,16.2,2.371625503
429,茨城県,筑西市,16.2,2.371625503
430,茨城県,坂東市,16.2,2.371625503
431,茨城県,稲敷市,16.2,2.371625503
432,茨城県,かすみがうら市,16.2,2.371625503
433,茨城県,桜川市,16.2,2.371625503
434,茨城県,神栖市,16.2,2.371625503
435,茨城県,行方市,16.2,2.371625503
436,茨城県,鉾田市,16.2,2.371625503
437,茨城県,つくばみらい市,16.2,2.371625503
438,茨城県,小美玉市,16.2,2.371625503
439,茨城県,茨城町,16.2,2.371625503
440,茨城県,大洗町,16.2,2.371625503
441,茨城県,城里町,16.2,2.371625503
442,茨城県,東海村,16.2,2.371625503
443,茨城県,大子町,16.2,2.371625503
444,茨城県,美浦村,16.2,2.371625503
445,茨城県,阿見町,16.2,2.371625503
446,茨城県,河内町,16.2,2.371625503
447,茨城県,八千代町,16.2,2.371625503
448,茨城県,五霞町,16.2,2.371625503
449,茨城県,境町,16.2,2.371625503
450,茨城県,利根町,16.2,2.371625503
451,栃木県,宇都宮市,16.1,2.270534176
452,栃木県,足利市,16.1,2.270534176
453,栃木県,栃木市,16.1,2.270534176
454,栃木県,佐野市,16.1,2.270534176
455,栃木県,鹿沼市,16.1,2.270534176
456,栃木県,日光市,16.1,2.270534176
457,栃木県,小山市,16.1,2.270534176
458,栃木県,真岡市,16.1,2.270534176
459,栃木県,大田原市,16.1,2.270534176
460,栃木県,矢板市,16.1,2.270534176
461,栃木県,那須塩原市,16.1,2.270534176
462,栃木県,さくら市,16.1,2.270534176
463,栃木県,那須烏山市,16.1,2.270534176
464,栃木県,下野市,16.1,2.270534176
465,栃木県,上三川町,16.1,2.270534176
466,栃木県,益子町,16.1,2.270534176
467,栃木県,茂木町,16.1,2.270534176
468,栃木県,市貝町,16.1,2.270534176
469,栃木県,芳賀町,16.1,2.270534176
470,栃木県,壬生町,16.1,2.270534176
471,栃木県,野木町,16.1,2.270534176
472,栃木県,塩谷町,16.1,2.270534176
473,栃木県,高根沢町,16.1,2.270534176
474,栃木県,那須町,16.1,2.270534176
475,栃木県,那珂川町,16.1,2.270534176
476,群馬県,前橋市,16.9,2.727742677
477,群馬県,高崎市,16.9,2.727742677
478,群馬県,桐生市,16.9,2.727742677
479,群馬県,伊勢崎市,16.9,2.727742677
480,群馬県,太田市,16.9,2.727742677
481,群馬県,沼田市,16.9,2.727742677
482,群馬県,館林市,16.9,2.727742677
483,群馬県,渋川市,16.9,2.727742677
484,群馬県,藤岡市,16.9,2.727742677
485,群馬県,富岡市,16.9,2.727742677
486,群馬県,安中市,16.9,2.727742677
487,群馬県,みどり市,16.9,2.727742677
488,群馬県,榛東村,16.9,2.727742677
489,群馬県,吉岡町,16.9,2.727742677
490,群馬県,上野村,16.9,2.727742677
491,群馬県,神流町,16.9,2.727742677
492,群馬県,下仁田町,16.9,2.727742677
493,群馬県,南牧村,16.9,2.727742677
494,群馬県,甘楽町,16.9,2.727742677
495,群馬県,中之条町,16.9,2.727742677
496,群馬県,長野原町,16.9,2.727742677
497,群馬県,嬬恋村,16.9,2.727742677
498,群馬県,草津町,16.9,2.727742677
499,群馬県,高山村,16.9,2.727742677
500,群馬県,東吾妻町,16.9,2.727742677
501,群馬県,片品村,16.9,2.727742677
502,群馬県,川場村,16.9,2.727742677
503,群馬県,昭和村,16.9,2.727742677
504,群馬県,みなかみ町,16.9,2.727742677
505,群馬県,玉村町,16.9,2.727742677
506,群馬県,板倉町,16.9,2.727742677
507,群馬県,明和町,16.9,2.727742677
508,群馬県,千代田町,16.9,2.727742677
509,群馬県,大泉町,16.9,2.727742677
510,群馬県,邑楽町,16.9,2.727742677
511,埼玉県,さいたま市,17.1,2.872487076
512,埼玉県,川越市,17.1,2.872487076
513,埼玉県,熊谷市,17.1,2.872487076
514,埼玉県,川口市,17.1,2.872487076
515,埼玉県,行田市,17.1,2.872487076
516,埼玉県,秩父市,17.1,2.872487076
517,埼玉県,所沢市,17.1,2.872487076
518,埼玉県,飯能市,17.1,2.872487076
519,埼玉県,加須市,17.1,2.872487076
520,埼玉県,本庄市,17.1,2.872487076
521,埼玉県,東松山市,17.1,2.872487076
522,埼玉県,春日部市,17.1,2.872487076
523,埼玉県,狭山市,17.1,2.872487076
524,埼玉県,羽生市,17.1,2.872487076
525,埼玉県,鴻巣市,17.1,2.872487076
526,埼玉県,深谷市,17.1,2.872487076
527,埼玉県,上尾市,17.1,2.872487076
528,埼玉県,草加市,17.1,2.872487076
529,埼玉県,越谷市,17.1,2.872487076
530,埼玉県,蕨市,17.1,2.872487076
531,埼玉県,戸田市,17.1,2.872487076
532,埼玉県,入間市,17.1,2.872487076
533,埼玉県,朝霞市,17.1,2.872487076
534,埼玉県,志木市,17.1,2.872487076
535,埼玉県,和光市,17.1,2.872487076
536,埼玉県,新座市,17.1,2.872487076
537,埼玉県,桶川市,17.1,2.872487076
538,埼玉県,久喜市,17.1,2.872487076
539,埼玉県,北本市,17.1,2.872487076
540,埼玉県,八潮市,17.1,2.872487076
541,埼玉県,富士見市,17.1,2.872487076
542,埼玉県,三郷市,17.1,2.872487076
543,埼玉県,蓮田市,17.1,2.872487076
544,埼玉県,坂戸市,17.1,2.872487076
545,埼玉県,幸手市,17.1,2.872487076
546,埼玉県,鶴ヶ島市,17.1,2.872487076
547,埼玉県,日高市,17.1,2.872487076
548,埼玉県,吉川市,17.1,2.872487076
549,埼玉県,ふじみ野市,17.1,2.872487076
550,埼玉県,白岡市,17.1,2.872487076
551,埼玉県,伊奈町,17.1,2.872487076
552,埼玉県,三芳町,17.1,2.872487076
553,埼玉県,毛呂山町,17.1,2.872487076
554,埼玉県,越生町,17.1,2.872487076
555,埼玉県,滑川町,17.1,2.872487076
556,埼玉県,嵐山町,17.1,2.872487076
557,埼玉県,小川町,17.1,2.872487076
558,埼玉県,川島町,17.1,2.872487076
559,埼玉県,吉見町,17.1,2.872487076
560,埼玉県,鳩山町,17.1,2.872487076
561,埼玉県,ときがわ町,17.1,2.872487076
562,埼玉県,横瀬町,17.1,2.872487076
563,埼玉県,皆野町,17.1,2.872487076
564,埼玉県,長瀞町,17.1,2.872487076
565,埼玉県,小鹿野町,17.1,2.872487076
566,埼玉県,東秩父村,17.1,2.872487076
567,埼玉県,美里町,17.1,2.872487076
568,埼玉県,神川町,17.1,2.872487076
569,埼玉県,上里町,17.1,2.872487076
570,埼玉県,寄居町,17.1,2.872487076
571,埼玉県,宮代町,17.1,2.872487076
572,埼玉県,杉戸町,17.1,2.872487076
573,埼玉県,松伏町,17.1,2.872487076
574,千葉県,千葉市,18.0 ,3.80987938
575,千葉県,銚子市,18.0 ,3.80987938
576,千葉県,市川市,18.0 ,3.80987938
577,千葉県,船橋市,18.0 ,3.80987938
578,千葉県,館山市,18.0 ,3.80987938
579,千葉県,木更津市,18.0 ,3.80987938
580,千葉県,松戸市,18.0 ,3.80987938
581,千葉県,野田市,18.0 ,3.80987938
582,千葉県,茂原市,18.0 ,3.80987938
583,千葉県,成田市,18.0 ,3.80987938
584,千葉県,佐倉市,18.0 ,3.80987938
585,千葉県,東金市,18.0 ,3.80987938
586,千葉県,旭市,18.0 ,3.80987938
587,千葉県,習志野市,18.0 ,3.80987938
588,千葉県,柏市,18.0 ,3.80987938
589,千葉県,勝浦市,18.0 ,3.80987938
590,千葉県,市原市,18.0 ,3.80987938
591,千葉県,流山市,18.0 ,3.80987938
592,千葉県,八千代市,18.0 ,3.80987938
593,千葉県,我孫子市,18.0 ,3.80987938
594,千葉県,鴨川市,18.0 ,3.80987938
595,千葉県,鎌ケ谷市,18.0 ,3.80987938
596,千葉県,君津市,18.0 ,3.80987938
597,千葉県,富津市,18.0 ,3.80987938
598,千葉県,浦安市,18.0 ,3.80987938
599,千葉県,四街道市,18.0 ,3.80987938
600,千葉県,袖ケ浦市,18.0 ,3.80987938
601,千葉県,八街市,18.0 ,3.80987938
602,千葉県,印西市,18.0 ,3.80987938
603,千葉県,白井市,18.0 ,3.80987938
604,千葉県,富里市,18.0 ,3.80987938
605,千葉県,南房総市,18.0 ,3.80987938
606,千葉県,匝瑳市,18.0 ,3.80987938
607,千葉県,香取市,18.0 ,3.80987938
608,千葉県,山武市,18.0 ,3.80987938
609,千葉県,いすみ市,18.0 ,3.80987938
610,千葉県,大網白里市,18.0 ,3.80987938
611,千葉県,酒々井町,18.0 ,3.80987938
612,千葉県,栄町,18.0 ,3.80987938
613,千葉県,神崎町,18.0 ,3.80987938
614,千葉県,多古町,18.0 ,3.80987938
615,千葉県,東庄町,18.0 ,3.80987938
616,千葉県,九十九里町,18.0 ,3.80987938
617,千葉県,芝山町,18.0 ,3.80987938
618,千葉県,横芝光町,18.0 ,3.80987938
619,千葉県,一宮町,18.0 ,3.80987938
620,千葉県,睦沢町,18.0 ,3.80987938
621,千葉県,長生村,18.0 ,3.80987938
622,千葉県,白子町,18.0 ,3.80987938
623,千葉県,長柄町,18.0 ,3.80987938
624,千葉県,長南町,18.0 ,3.80987938
625,千葉県,大多喜町,18.0 ,3.80987938
626,千葉県,御宿町,18.0 ,3.80987938
627,千葉県,鋸南町,18.0 ,3.80987938
628,東京都,千代田区,17.6 ,3.210224009
629,東京都,中央区,17.6 ,3.210224009
630,東京都,港区,17.6 ,3.210224009
631,東京都,新宿区,17.6 ,3.210224009
632,東京都,文京区,17.6 ,3.210224009
633,東京都,台東区,17.6 ,3.210224009
634,東京都,墨田区,17.6 ,3.210224009
635,東京都,江東区,17.6 ,3.210224009
636,東京都,品川区,17.6 ,3.210224009
637,東京都,目黒区,17.6 ,3.210224009
